"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60503.108732568784,,
60503.10905581447,,
60503.109379171954,,
60503.10970244126,,
60503.110025723036,,
60503.110349050294,,
60503.11067257594,,
60503.11099616271,,
60503.11131945492,,
60503.11164269628,,
60503.11196571975,,
60503.11228900077,,
60503.112612016695,,
60503.1129352332,,
60503.11325842969,,
60503.1135816061,,
60503.11390483262,,
60503.114228266146,,
60503.11455136677,,
60503.114874578205,,
60503.11519761702,,
60503.11552083767,,
60503.115843767424,,
60503.11616699099,,
60503.116490192115,,
60503.116813137065,,
60503.11713626606,,
60503.11746312464,,
60503.117786466755,,
60503.118109655305,,
60503.11843269341,,
60503.11875567153,,
60503.11907891834,,
60503.119401854754,,
60503.11972512514,,
60503.120048332086,,
60503.12037131274,,
60503.12069458517,,
60503.12101752609,,
60503.12134038929,,
60503.12166341157,,
60503.12198663788,,
60503.12230954329,,
60503.12263253089,,
60503.122955491315,,
60503.12327835156,,
60503.123601237035,,
60503.12392414009,,
60503.12424712774,,
60503.12456993487,,
60503.12489298087,,
60503.1252158012,,
60503.12553858486,,
60503.125861512664,,
60503.12618431156,,
60503.126507277244,,
60503.12683013397,,
60503.12715303151,,
60503.127476154055,,
60503.12779976371,,
60503.12812681675,,
60503.12845056141,,
60503.128773730474,,
60503.12909689327,,
60503.1294201401,,
60503.12974328545,,
60503.13006663665,,
60503.13038978302,,
60503.13071320725,,
60503.13103639923,,
60503.1313595918,,
60503.13168301573,,
60503.13200621131,,
60503.13232970204,,
60503.13265303733,,
60503.13297626816,,
60503.13329961111,,
60503.133622765214,,
60503.13394584344,,
60503.134268952796,,
60503.13459221668,,
60503.13491558404,,
60503.13535778547,,
60503.1356808992,,
60503.13600383741,,
60503.13632675846,,
60503.136649798136,,
60503.13697320205,,
60503.13729612979,,
60503.13761890106,,
60503.13794175502,,
60503.13826469598,,
60503.13859137156,,
60503.13891449394,,
60503.13923800545,,
60503.13956110763,,
60503.13988430213,,
60503.14020744308,,
60503.140530692486,,
60503.140853795834,,
60503.14117702635,,
60503.14150008821,,
60503.14182329603,,
60503.14214630636,,
60503.14246968474,,
60503.156671097226,,
60503.157316367025,,
60503.15796165439,,
60503.158607127094,,
60503.18151624754,,
60503.20540928332,,
60503.205732384165,,
60503.20605562126,,
60503.20637871789,,
60503.2067018489,,
60503.20702502089,,
60503.207348087366,,
60503.20767132496,,
60503.20799440096,,
60503.20831774264,,
60503.208640837554,,
60503.20896387163,,
60503.20928717237,,
60503.20961036191,,
60503.209933455095,,
60503.21025664683,,
60503.21057973887,,
60503.21090276896,,
60503.21122569965,,
60503.211548989944,,
60503.2118724092,,
60503.212195482505,,
60503.212518891145,,
60503.21284183553,,
60503.21316859505,,
60503.2134917484,,
60503.213814744726,,
60503.214137867246,,
60503.21510626767,,
60503.21704198448,,
60503.21736486253,,
60503.21768814237,,
60503.21801107336,,
60503.21865636104,,
60503.21962398944,,
60503.220269821526,,
60503.22091515104,,
60503.221238133396,,
60503.22188353064,,
60503.22252910021,,
60503.22285189665,,
60503.223174720784,,
60503.22349751757,,
60503.224146820845,,
60503.22446955284,,
60503.224792317094,,
60503.22511502117,,
60503.22543797748,,
60503.22576091729,,
60503.22608370466,,
60503.22640646409,,
60503.22737399289,,
60503.22769678818,,
60503.228019592134,,
60503.22834231948,,
60503.22866519388,,
60503.228987966875,,
60503.22931122729,,
60503.22963434658,,
60503.229957616386,,
60503.2302812052,,
60503.23060442315,,
60503.2309278416,,
60503.23125090092,,
60503.231573984594,,
60503.23189706086,,
60503.2322204032,,
60503.23254364413,,
60503.232866782266,,
60503.23351244323,,
60503.233835522624,,
60503.23448466218,,
60503.234807793495,,
60503.23513117117,,
60503.23545438681,,
60503.23577741162,,
60503.23610056317,,
60503.23642369166,,
60503.236746888324,,
60503.23707007184,,
60503.23739296114,,
60503.23771597617,,
60503.23803891522,,
60503.23836194323,,
60503.238685109856,,
60503.23900817849,,
60503.23933140087,,
60503.23995742834,,
60503.24028044899,,
60503.24060348538,,
