energy_keV,PA_bin,PA_center_rad,PA_center_deg,probability_sum,max_phi_bin,max_pixel_id,max_probability
100,39,0.34033920413889424,19.5,1.0,19,388,0.0005762675218469347
15,40,0.3490658503988659,20.0,1.0,19,387,0.0007942498161748817
20,40,0.3490658503988659,20.0,1.0,1,868,0.0006788272065276981
30,40,0.3490658503988659,20.0,1.0,1,868,0.0006300299356281911
40,40,0.3490658503988659,20.0,1.0,19,388,0.000615618394507041
50,40,0.3490658503988659,20.0,1.0,19,388,0.0006068277816218708
60,40,0.3490658503988659,20.0,1.0,19,388,0.0005994337849776174
80,40,0.3490658503988659,20.0,0.9999999999999999,1,868,0.0005863715636958305
100,40,0.3490658503988659,20.0,1.0,19,388,0.0005750527344009235
15,41,0.35779249665883756,20.5,1.0000000000000002,19,387,0.0007926210308645249
20,41,0.35779249665883756,20.5,0.9999999999999999,1,868,0.0006773227421777447
30,41,0.35779249665883756,20.5,1.0,1,868,0.000628633619204176
40,41,0.35779249665883756,20.5,1.0,19,388,0.0006142540179487825
50,41,0.35779249665883756,20.5,0.9999999999999998,19,388,0.0006054828874349289
60,41,0.35779249665883756,20.5,1.0,19,388,0.0005981052778833651
80,41,0.35779249665883756,20.5,1.0000000000000004,1,868,0.0005850720060103086
100,41,0.35779249665883756,20.5,1.0,19,388,0.0005737782622968189
15,42,0.3665191429188092,21.0,1.0,19,387,0.0007909164642383951
20,42,0.3665191429188092,21.0,1.0,1,868,0.0006757482807034175
30,42,0.3665191429188092,21.0,1.0,1,868,0.0006271723373760899
40,42,0.3665191429188092,21.0,1.0,19,388,0.0006128261620294882
50,42,0.3665191429188092,21.0,1.0,19,388,0.0006040754203291471
60,42,0.3665191429188092,21.0,0.9999999999999998,19,388,0.0005967149603006793
80,42,0.3665191429188092,21.0,1.0,1,868,0.0005837119847445435
100,42,0.3665191429188092,21.0,1.0000000000000004,19,388,0.0005724444937511711
15,43,0.3752457891787809,21.5,0.9999999999999999,19,387,0.0007891366355240184
20,43,0.3752457891787809,21.5,0.9999999999999999,1,868,0.0006741043017009342
30,43,0.3752457891787809,21.5,1.0,1,868,0.0006256465352645431
40,43,0.3752457891787809,21.5,1.0,19,388,0.0006113352616878868
50,43,0.3752457891787809,21.5,1.0,19,388,0.00060260580903264
60,43,0.3752457891787809,21.5,1.0000000000000002,19,388,0.0005952632557337602
80,43,0.3752457891787809,21.5,1.0,1,868,0.000582291914174181
100,43,0.3752457891787809,21.5,1.0,19,388,0.0005710518350427986
15,44,0.3839724354387525,22.0,0.9999999999999999,19,387,0.0007872820868744703
20,44,0.3839724354387525,22.0,1.0,19,387,0.0006725104576215562
30,44,0.3839724354387525,22.0,1.0,1,868,0.0006240566776436376
40,44,0.3839724354387525,22.0,1.0,19,388,0.0006097817710666713
50,44,0.3839724354387525,22.0,1.0,19,388,0.0006010745012032412
60,44,0.3839724354387525,22.0,1.0,19,388,0.0005937506063858829
80,44,0.3839724354387525,22.0,0.9999999999999998,1,868,0.0005808122268664773
100,44,0.3839724354387525,22.0,0.9999999999999999,19,388,0.0005696007103890281
15,45,0.39269908169872414,22.5,1.0,19,387,0.000785353383203235
20,45,0.39269908169872414,22.5,1.0,19,387,0.0006708629244054985
30,45,0.39269908169872414,22.5,1.0,1,868,0.000622403248799405
40,45,0.39269908169872414,22.5,1.0,19,388,0.0006081661633741414
50,45,0.39269908169872414,22.5,1.0,19,388,0.0005994819632921534
60,45,0.39269908169872414,22.5,0.9999999999999999,19,388,0.0005921774730246945
80,45,0.39269908169872414,22.5,1.0,1,868,0.0005792733735485257
100,45,0.39269908169872414,22.5,1.0,19,388,0.0005680915618164814
15,46,0.4014257279586958,23.0,0.9999999999999998,19,387,0.0007833511120121215
20,46,0.4014257279586958,23.0,1.0,19,387,0.0006691525484964807
30,46,0.4014257279586958,23.0,1.0,1,868,0.0006206867523822841
40,46,0.4014257279586958,23.0,0.9999999999999999,19,388,0.0006064889307400544
50,46,0.4014257279586958,23.0,1.0,19,388,0.0005978286804018448
